,Song Name,Artist,Weekly Streams,Week of
5121,Too Good,Drake,1610117,3/16/2017
5122,Mercy,Shawn Mendes,1604886,3/16/2017
5123,Controlla,Drake,1604523,3/16/2017
5124,Money Longer,Lil Uzi Vert,1598871,3/16/2017
5125,Don't Let Me Down,The Chainsmokers,1592238,3/16/2017
5126,beibs in the trap,Travis Scott,1585149,3/16/2017
5127,Needed Me,Rihanna,1574047,3/16/2017
5128,Lights Down Low,MAX,1572074,3/16/2017
5129,Reminder,The Weeknd,1562715,3/16/2017
5130,No Flockin,Kodak Black,1542624,3/16/2017
5131,It's A Vibe,2 Chainz,1540989,3/16/2017
5132,Thumbs,Sabrina Carpenter,1532834,3/16/2017
5133,Panda,Desiigner,1522162,3/16/2017
5134,Can't Stop The Feeling!,Justin Timberlake,1517036,3/16/2017
5135,Some Way,NAV,1511174,3/16/2017
5136,Scars To Your Beautiful,Alessia Cara,1484346,3/16/2017
5137,Ride,Twenty One Pilots,1483312,3/16/2017
5138,Saved,Khalid,1476977,3/16/2017
5139,Sucker For Pain ,"Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic, Ty Dolla $ign feat. X Ambassadors, Wiz Khalifa, Imagine Dragons, Logic, Ty Dolla $ign",1473249,3/16/2017
5140,Everyday,Ariana Grande,1457298,3/16/2017
5141,Jumpman,Drake,1437517,3/16/2017
5142,Used to This,Future,1418820,3/16/2017
5143,Deja Vu,Post Malone,1401555,3/16/2017
5144,Some Kind Of Drug,G-Eazy,1392089,3/16/2017
5145,Treat You Better,Shawn Mendes,1388963,3/16/2017
5146,How Far I'll Go,Auli'i Cravalho,1376099,3/16/2017
5147,Running Back ,Wale,1361927,3/16/2017
5148,Same Drugs,Chance the Rapper,1358591,3/16/2017
5149,Litty ,Meek Mill,1351895,3/16/2017
5150,Stressed Out,Twenty One Pilots,1348861,3/16/2017
5151,One Night,Lil Yachty,1337736,3/16/2017
5152,Good Drank,2 Chainz,1336398,3/16/2017
5153,Six Feet Under,The Weeknd,1322871,3/16/2017
5154,Erase Your Social,Lil Uzi Vert,1321110,3/16/2017
5155,Cold Water ,Major Lazer,1303524,3/16/2017
5156,Thinking out Loud,Ed Sheeran,1293963,3/16/2017
5157,Wyclef Jean,Young Thug,1288601,3/16/2017
5158,Neighbors,J. Cole,1285049,3/16/2017
5159,What They Want,Russ,1274277,3/16/2017
5160,Chantaje ,Shakira,1273663,3/16/2017
5161,Work from Home ,Fifth Harmony,1272431,3/16/2017
5162,All We Know,The Chainsmokers,1271613,3/16/2017
5163,Juke Jam ,Chance the Rapper,1255844,3/16/2017
5164,Timeless,A Boogie Wit da Hoodie,1255623,3/16/2017
5165,Shining ,DJ Khaled,1249753,3/16/2017
5166,It's Gotta Be You,Isaiah,1242245,3/16/2017
5167,The Hills,The Weeknd,1239231,3/16/2017
5168,Trap Trap Trap,Rick Ross,1236505,3/16/2017
5169,Outlet,Desiigner,1231394,3/16/2017
5170,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1231177,3/16/2017
5171,"i hate u, i love u ",gnash,1222675,3/16/2017
5172,Death of a Bachelor,Panic! At The Disco,1218210,3/16/2017
5173,Smoke Break ,Chance the Rapper,1215032,3/16/2017
5174,Go Off ,"Lil Uzi Vert, Lil Uzi Vert, Quavo, Travis Scott, Lil Uzi Vert, Quavo, Travis Scott",1214071,3/16/2017
5175,Changed It,"Nicki Minaj, Lil Wayne",1197566,3/16/2017
5176,Dirt On My Boots,Jon Pardi,1195511,3/16/2017
5177,Million Reasons,Lady Gaga,1195044,3/16/2017
5178,There He Go,Kodak Black,1194001,3/16/2017
5179,Work,Rihanna,1184164,3/16/2017
5180,Photograph,Ed Sheeran,1175675,3/16/2017
5181,'Till I Collapse,Eminem,1167238,3/16/2017
5182,Be the One,Dua Lipa,1160653,3/16/2017
5183,Father Stretch My Hands Pt. 1,Kanye West,1160189,3/16/2017
5184,My Shit,A Boogie Wit da Hoodie,1159683,3/16/2017
5185,"Me, Myself & I",G-Eazy,1156378,3/16/2017
5186,We Don't Talk Anymore,Charlie Puth,1156112,3/16/2017
5187,All We Got ,Chance the Rapper,1155384,3/16/2017
5188,Hurricane,Luke Combs,1152848,3/16/2017
5189,OOOUUU,Young M.A,1150954,3/16/2017
5190,Work REMIX ,A$AP Ferg,1150144,3/16/2017
5191,DEVASTATED,Joey Bada$$,1148286,3/16/2017
5192,Sorry,Future,1143667,3/16/2017
5193,Die For You,The Weeknd,1143093,3/16/2017
5194,Antidote,Travis Scott,1139173,3/16/2017
5195,Into You,Ariana Grande,1133324,3/16/2017
5196,Want Her,Mustard,1131411,3/16/2017
5197,Wet Dreamz,J. Cole,1123804,3/16/2017
5198,Sidewalks,The Weeknd,1123560,3/16/2017
5199,Bad and Boujee ,Migos,9212016,1/5/2017
5200,Fake Love,Drake,8402709,1/5/2017
5201,Starboy,The Weeknd,7634586,1/5/2017
5202,Closer,The Chainsmokers,6384465,1/5/2017
5203,Black Beatles,Rae Sremmurd,5745384,1/5/2017
5204,Caroline,Amine,4992851,1/5/2017
5205,I Don't Wanna Live Forever,"Zayn, Taylor Swift",4874178,1/5/2017
5206,Bounce Back,Big Sean,4818172,1/5/2017
5207,Bad Things,"Machine Gun Kelly, Camila Cabello",4805096,1/5/2017
5208,I Feel It Coming,The Weeknd,4586635,1/5/2017
5209,Broccoli ,DRAM,4558327,1/5/2017
5210,Let Me Love You,DJ Snake,4152387,1/5/2017
5211,One Dance,Drake,4042672,1/5/2017
5212,24K Magic,Bruno Mars,3828278,1/5/2017
5213,Don't Wanna Know,Maroon 5,3797163,1/5/2017
5214,Deja Vu,J. Cole,3777536,1/5/2017
5215,X ,21 Savage,3751877,1/5/2017
5216,Starving,Hailee Steinfeld,3465749,1/5/2017
5217,Chill Bill,Rob $tone,3464585,1/5/2017
5218,In the Name of Love,Martin Garrix,3432821,1/5/2017
5219,Say You Won't Let Go,James Arthur,3358134,1/5/2017
5220,Party Monster,The Weeknd,3341933,1/5/2017
5221,No Heart,21 Savage,3265130,1/5/2017
5222,Side To Side,Ariana Grande,3222416,1/5/2017
5223,Sneakin’,Drake,3046339,1/5/2017
5224,Heathens,Twenty One Pilots,3019029,1/5/2017
5225,OOOUUU,Young M.A,2954985,1/5/2017
5226,iSpy ,KYLE,2951309,1/5/2017
5227,All We Know,The Chainsmokers,2838884,1/5/2017
5228,You Was Right,Lil Uzi Vert,2803226,1/5/2017
5229,No Problem ,Chance the Rapper,2762137,1/5/2017
5230,"How Far I'll Go - From ""Moana""",Alessia Cara,2747443,1/5/2017
5231,Scars To Your Beautiful,Alessia Cara,2713743,1/5/2017
5232,Mercy,Shawn Mendes,2703580,1/5/2017
5233,Call On Me - Ryan Riback Extended Remix,Starley,2659113,1/5/2017
5234,Love Me Now,John Legend,2556359,1/5/2017
5235,Neighbors,J. Cole,2554091,1/5/2017
5236,Too Good,Drake,2502428,1/5/2017
5237,Cold Water ,Major Lazer,2493998,1/5/2017
5238,Swang,Rae Sremmurd,2424161,1/5/2017
5239,Controlla,Drake,2423349,1/5/2017
5240,Six Feet Under,The Weeknd,2419147,1/5/2017
5241,Don't Let Me Down,The Chainsmokers,2402845,1/5/2017
5242,pick up the phone,"Young Thug, Travis Scott",2385552,1/5/2017
5243,Needed Me,Rihanna,2372277,1/5/2017
5244,Just Hold On,"Steve Aoki, Louis Tomlinson",2366651,1/5/2017
5245,Treat You Better,Shawn Mendes,2340498,1/5/2017
5246,Sidewalks,The Weeknd,2321664,1/5/2017
5247,Rockabye ,Clean Bandit,2272394,1/5/2017
5248,Immortal,J. Cole,2194654,1/5/2017
5249,Redbone,Childish Gambino,2175894,1/5/2017
5250,Work from Home ,Fifth Harmony,2102278,1/5/2017
5251,All Time Low,Jon Bellion,2073078,1/5/2017
5252,Panda,Desiigner,2064963,1/5/2017
5253,Some Kind Of Drug,G-Eazy,2007331,1/5/2017
5254,Can't Stop The Feeling!,Justin Timberlake,1995424,1/5/2017
5255,Work,Rihanna,1969886,1/5/2017
5256,Now and Later,Sage The Gemini,1951897,1/5/2017
5257,Low Life,Future,1896260,1/5/2017
5258,Cheap Thrills,Sia,1895573,1/5/2017
5259,Sucker For Pain ,"Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic, Ty Dolla $ign feat. X Ambassadors, Wiz Khalifa, Imagine Dragons, Logic, Ty Dolla $ign",1894425,1/5/2017
5260,Used to This,Future,1890971,1/5/2017
5261,Into You,Ariana Grande,1874910,1/5/2017
5262,Chantaje ,Shakira,1860023,1/5/2017
5263,Ride,Twenty One Pilots,1859241,1/5/2017
5264,All Night,The Vamps,1845885,1/5/2017
5265,Love On The Brain,Rihanna,1843366,1/5/2017
5266,goosebumps,Travis Scott,1833069,1/5/2017
5267,Reminder,The Weeknd,1829110,1/5/2017
5268,Weak,AJR,1823119,1/5/2017
5269,This Is What You Came For,Calvin Harris,1820016,1/5/2017
5270,No Role Modelz,J. Cole,1814343,1/5/2017
5271,Jumpman,Drake,1813853,1/5/2017
5272,Make Me (Cry),Noah Cyrus,1788273,1/5/2017
5273,Money Longer,Lil Uzi Vert,1767920,1/5/2017
5274,Change,J. Cole,1739684,1/5/2017
5275,"i hate u, i love u ",gnash,1710840,1/5/2017
5276,Too Many Years,Kodak Black,1706940,1/5/2017
5277,Trust Nobody ,Cashmere Cat,1705908,1/5/2017
5278,Die For You,The Weeknd,1689769,1/5/2017
5279,The Mack,Nevada,1684361,1/5/2017
5280,Sunset Lover,Petit Biscuit,1676121,1/5/2017
5281,Don't,Bryson Tiller,1652261,1/5/2017
5282,Never Be Like You,Flume,1651935,1/5/2017
5283,White Iverson,Post Malone,1651702,1/5/2017
5284,Selfish,PnB Rock,1649780,1/5/2017
5285,Juju On That Beat,"Zay Hilfigerrr, Zayion McCall",1629704,1/5/2017
5286,Erase Your Social,Lil Uzi Vert,1617327,1/5/2017
5287,Exchange,Bryson Tiller,1612036,1/5/2017
5288,Water,Ugly God,1605966,1/5/2017
5289,Come and See Me ,PARTYNEXTDOOR,1603648,1/5/2017
5290,Stressed Out,Twenty One Pilots,1588712,1/5/2017
5291,Moves,Big Sean,1577217,1/5/2017
5292,Water Under the Bridge,Adele,1570560,1/5/2017
5293,Congratulations,Post Malone,1565952,1/5/2017
5294,We Don't Talk Anymore,Charlie Puth,1555996,1/5/2017
5295,Light,San Holo,1539741,1/5/2017
5296,Setting Fires,The Chainsmokers,1534937,1/5/2017
5297,One Night,Lil Yachty,1526899,1/5/2017
5298,Too Much Sauce,DJ Esco,1523264,1/5/2017
5299,All Time Low,Jon Bellion,1508954,1/5/2017
5300,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,1506973,1/5/2017
5301,"Me, Myself & I",G-Eazy,1499613,1/5/2017
5302,Love Yourself,Justin Bieber,1492066,1/5/2017
5303,No Flockin,Kodak Black,1486114,1/5/2017
5304,Send My Love (To Your New Lover),Adele,1458924,1/5/2017
5305,Lot to Learn,Luke Christopher,1457330,1/5/2017
5306,Deja Vu,Post Malone,1449709,1/5/2017
5307,I Would Like,Zara Larsson,1443086,1/5/2017
5308,Litty ,Meek Mill,1428281,1/5/2017
5309,That's What I Like,Bruno Mars,1426314,1/5/2017
5310,True Colors,The Weeknd,1392501,1/5/2017
5311,Gold,Kiiara,1392159,1/5/2017
5312,Steady 1234 ,Vice,1370282,1/5/2017
5313,Father Stretch My Hands Pt. 1,Kanye West,1359209,1/5/2017
5314,Secrets,The Weeknd,1357574,1/5/2017
5315,Lighthouse - Andrelli Remix,"Hearts, Colors",1346814,1/5/2017
5316,This Town,Niall Horan,1337852,1/5/2017
5317,I Got You,Bebe Rexha,1324870,1/5/2017
5318,Gassed Up,Nebu Kiniza,1316848,1/5/2017
5319,The Hills,The Weeknd,1314904,1/5/2017
5320,Shed a Light,Robin Schulz,1314763,1/5/2017
5321,Pop Style,Drake,1308555,1/5/2017
5322,PILLOWTALK,ZAYN,1302358,1/5/2017
5323,Rockin’,The Weeknd,1292313,1/5/2017
5324,Living Single,Big Sean,1289108,1/5/2017
5325,By Your Side,Jonas Blue,1272787,1/5/2017
5326,Roses,"benny blanco, Juice WRLD",1271131,1/5/2017
5327,Not Going Home,DVBBS,1252783,1/5/2017
5328,My Shit,A Boogie Wit da Hoodie,1250894,1/5/2017
5329,Both ,Gucci Mane,1244566,1/5/2017
5330,She's Mine Pt. 1,J. Cole,1239589,1/5/2017
5331,What They Want,Russ,1236441,1/5/2017
5332,7 Years,Lukas Graham,1231010,1/5/2017
5333,Capsize,FRENSHIP,1223974,1/5/2017
5334,Timeless,A Boogie Wit da Hoodie,1223119,1/5/2017
5335,For Whom The Bell Tolls,J. Cole,1209823,1/5/2017
5336,Black Barbies,Nicki Minaj,1203632,1/5/2017
5337,Famous,Kanye West,1203339,1/5/2017
5338,Party,Chris Brown,1203313,1/5/2017
5339,Let Me Explain,Bryson Tiller,1203303,1/5/2017
5340,Sorry,Justin Bieber,1200409,1/5/2017
5341,4 Your Eyez Only,J. Cole,1198722,1/5/2017
5342,Cake By The Ocean,DNCE,1198196,1/5/2017
5343,Uber Everywhere,MadeinTYO,1196926,1/5/2017
5344,Ville Mentality,J. Cole,1195946,1/5/2017
5345,Somebody Else,VÉRITÉ,1188181,1/5/2017
5346,You & Me,Marc E. Bassy,1180939,1/5/2017
5347,Go Flex,Post Malone,1178420,1/5/2017
5348,Say It ,Flume,1176800,1/5/2017
5349,Hotline Bling,Drake,1173442,1/5/2017
5350,My Way,Calvin Harris,1165966,1/5/2017
5351,Hymn for the Weekend - Seeb Remix,Coldplay,1161968,1/5/2017
5352,oui,Jeremih,1154979,1/5/2017
5353,Tiimmy Turner,Desiigner,1153514,1/5/2017
5354,Still Here,Drake,1138947,1/5/2017
5355,Solo Dance,Martin Jensen,1135824,1/5/2017
5356,The Greatest,Sia,1135516,1/5/2017
5357,All I Know,The Weeknd,1125001,1/5/2017
5358,Good Drank,2 Chainz,1121693,1/5/2017
5359,False Alarm,The Weeknd,1114937,1/5/2017
5360,How Far I'll Go,Auli'i Cravalho,1106252,1/5/2017
5361,Baptized In Fire,Kid Cudi,1104704,1/5/2017
5362,Wyclef Jean,Young Thug,1100950,1/5/2017
5363,Blue Ain't Your Color,Keith Urban,1097211,1/5/2017
5364,Do What I Want,Lil Uzi Vert,1088857,1/5/2017
5365,Foldin Clothes,J. Cole,1084490,1/5/2017
5366,Attention,The Weeknd,1072547,1/5/2017
5367,Hear Me Now,Alok,1069787,1/5/2017
5368,Oh Lord,MiC LOWRY,1062440,1/5/2017
5369,LUV,Tory Lanez,1055938,1/5/2017
5370,Dynamite ,Nause,1044694,1/5/2017
5371,Light It Up,Major Lazer,1044681,1/5/2017
5372,Ophelia,The Lumineers,1044290,1/5/2017
5373,My House,Flo Rida,1040529,1/5/2017
5374,Really Really,Kevin Gates,1038557,1/5/2017
5375,Middle,DJ Snake,1037663,1/5/2017
5376,No Type,Rae Sremmurd,1034776,1/5/2017
5377,Antidote,Travis Scott,1030659,1/5/2017
5378,Wake Up Where You Are,State of Sound,1029544,1/5/2017
5379,'Till I Collapse,Eminem,1025946,1/5/2017
5380,Taped up Heart ,KREAM,1023319,1/5/2017
5381,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,1022088,1/5/2017
5382,Wet Dreamz,J. Cole,1017185,1/5/2017
5383,Location,Khalid,1013332,1/5/2017
5384,Childs Play,Drake,1011375,1/5/2017
5385,Juke Jam ,Chance the Rapper,1003473,1/5/2017
5386,Unsteady,X Ambassadors,1001054,1/5/2017
5387,Versace on the Floor,Bruno Mars,993041,1/5/2017
5388,Cake - Challenge Version,Flo Rida,992174,1/5/2017
5389,Let It Go,James Bay,992058,1/5/2017
5390,Ni**as In Paris,JAY Z,986745,1/5/2017
5391,Look Alive,Rae Sremmurd,985786,1/5/2017
5392,Castro,Yo Gotti,982286,1/5/2017
5393,Crazy Brazy,A$AP Mob,980402,1/5/2017
5394,She's Mine Pt. 2,J. Cole,978401,1/5/2017
5395,Seven Million ,Lil Uzi Vert,976118,1/5/2017
5396,Miss You,James Hersey,973546,1/5/2017
5397,Hello,Adele,970330,1/5/2017
5398,H.O.L.Y.,Florida Georgia Line,968095,1/5/2017
5399,rockstar,Post Malone,14517200,11/16/2017
5400,Gucci Gang,Lil Pump,10321915,11/16/2017
5401,I Fall Apart,Post Malone,7815246,11/16/2017
5402,Havana,Camila Cabello,7794699,11/16/2017
5403,Too Good At Goodbyes,Sam Smith,7264572,11/16/2017
5404,1-800-273-8255,Logic,6320060,11/16/2017
5405,No Limit,G-Eazy,6298905,11/16/2017
5406,Bank Account,21 Savage,6207131,11/16/2017
5407,Plain Jane,A$AP Ferg,6002335,11/16/2017
5408,Ric Flair Drip,"Offset, Metro Boomin",6001050,11/16/2017
5409,Walk On Water ,Eminem,5796653,11/16/2017
5410,What Lovers Do ,Maroon 5,5589167,11/16/2017
5411,XO TOUR Llif3,Lil Uzi Vert,5442939,11/16/2017
5412,Young Dumb & Broke,Khalid,5435113,11/16/2017
5413,MotorSport,Migos,5399537,11/16/2017
5414,Let You Down,NF,5262087,11/16/2017
5415,Bodak Yellow,Cardi B,5192031,11/16/2017
5416,Perfect,Ed Sheeran,5144708,11/16/2017
5417,I Get The Bag ,Gucci Mane,5036054,11/16/2017
5418,Candy Paint,Post Malone,5027799,11/16/2017
5419,Wolves,Selena Gomez,4954378,11/16/2017
5420,New Rules,Dua Lipa,4737651,11/16/2017
5421,Ghostface Killers,21 Savage,4724710,11/16/2017
5422,Congratulations,Post Malone,4706294,11/16/2017
5423,Silence,Marshmello,4543318,11/16/2017
5424,Meant to Be,"Bebe Rexha, Florida Georgia Line",4173573,11/16/2017
5425,Bad At Love,Halsey,4155207,11/16/2017
5426,HUMBLE.,Kendrick Lamar,4147743,11/16/2017
5427,Let Me Go,"Hailee Steinfeld, Alesso",4096021,11/16/2017
5428,Unforgettable,French Montana,4020124,11/16/2017
5429,Jocelyn Flores,XXXTENTACION,3981320,11/16/2017
5430,Sorry Not Sorry,Demi Lovato,3955696,11/16/2017
5431,BUTTERFLY EFFECT,Travis Scott,3945029,11/16/2017
5432,Roll In Peace ,Kodak Black,3741707,11/16/2017
5433,Feel It Still,Portugal. The Man,3739479,11/16/2017
5434,goosebumps,Travis Scott,3731429,11/16/2017
5435,The Way Life Goes ,Lil Uzi Vert,3618887,11/16/2017
5436,Thunder,Imagine Dragons,3542317,11/16/2017
5437,Wanted You ,NAV,3510101,11/16/2017
5438,Fuck Love ,XXXTENTACION,3497331,11/16/2017
5439,Location,Khalid,3411676,11/16/2017
5440,How Long,Charlie Puth,3369663,11/16/2017
5441,Drowning ,A Boogie Wit da Hoodie,3369482,11/16/2017
5442,Dusk Till Dawn,ZAYN,3320842,11/16/2017
5443,LOVE.,Kendrick Lamar,3305844,11/16/2017
5444,Slippery ,Migos,3294004,11/16/2017
5445,Rake It Up,Yo Gotti,3269899,11/16/2017
5446,Pray,Sam Smith,3234526,11/16/2017
5447,Call It What You Want,Taylor Swift,3056601,11/16/2017
5448,Go Flex,Post Malone,3024395,11/16/2017
5449,Betrayed,Lil Xan,2894262,11/16/2017
5450,PICK IT UP ,Famous Dex,2687680,11/16/2017
5451,Stargazing,Kygo,2685047,11/16/2017
5452,...Ready For It?,Taylor Swift,2658304,11/16/2017
5453,Sauce It Up,Lil Uzi Vert,2624225,11/16/2017
5454,Glorious ,Macklemore,2557511,11/16/2017
5455,Believer,Imagine Dragons,2503567,11/16/2017
5456,Rubbin Off The Paint,YBN Nahmir,2464864,11/16/2017
5457,Look What You Made Me Do,Taylor Swift,2436551,11/16/2017
5458,The Race,22 Savage,2423164,11/16/2017
5459,Magnolia,Playboi Carti,2396816,11/16/2017
5460,The Way Life Goes ,Lil Uzi Vert,2387925,11/16/2017
5461,Relationship ,Young Thug,2357834,11/16/2017
5462,DNA.,Kendrick Lamar,2338361,11/16/2017
5463,Love Galore ,SZA,2338324,11/16/2017
5464,wokeuplikethis*,Playboi Carti,2334081,11/16/2017
5465,Redbone,Childish Gambino,2321626,11/16/2017
5466,Mi Gente,J Balvin,2316477,11/16/2017
5467,Gorgeous,Taylor Swift,2293668,11/16/2017
5468,White Iverson,Post Malone,2289809,11/16/2017
5469,Mi Gente ,J Balvin,2288178,11/16/2017
5470,Transportin',Kodak Black,2287283,11/16/2017
5471,Shape of You,Ed Sheeran,2269221,11/16/2017
5472,Attention,Charlie Puth,2257876,11/16/2017
5473,It's A Vibe,2 Chainz,2220591,11/16/2017
5474,Wait,Maroon 5,2204442,11/16/2017
5475,Body Like A Back Road,Sam Hunt,2195462,11/16/2017
5476,GUMMO,6ix9ine,2180860,11/16/2017
5477,Pull Up N Wreck,"Big Sean, Metro Boomin",2171136,11/16/2017
5478,I Miss You ,Clean Bandit,2170201,11/16/2017
5479,Homemade Dynamite,Lorde,2156347,11/16/2017
5480,Losin Control,Russ,2146570,11/16/2017
5481,Mask Off,Future,2138099,11/16/2017
5482,Good Old Days ,Macklemore,2087431,11/16/2017
5483,Rap Saved Me,21 Savage,2084062,11/16/2017
5484,Everybody Dies In Their Nightmares,XXXTENTACION,2067502,11/16/2017
5485,Sky Walker ,Miguel,2067319,11/16/2017
5486,Pills & Automobiles ,Chris Brown,2048917,11/16/2017
5487,Lonely Together ,Avicii,2009769,11/16/2017
5488,Despacito,Luis Fonsi,1982249,11/16/2017
5489,Questions,Chris Brown,1974707,11/16/2017
5490,Slow Hands,Niall Horan,1964838,11/16/2017
5491,Patek Water,Future,1955949,11/16/2017
5492,What Ifs,Kane Brown,1952407,11/16/2017
5493,New Freezer ,Rich The Kid,1951633,11/16/2017
5494,Say You Won't Let Go,James Arthur,1944208,11/16/2017
5495,Praying,Kesha,1926964,11/16/2017
5496,Strip That Down,Liam Payne,1919473,11/16/2017
5497,I'm the One ,DJ Khaled,1893664,11/16/2017
5498,iSpy ,KYLE,1850354,11/16/2017
5499,Lemon,N.E.R.D,1849412,11/16/2017
5500,Tunnel Vision,Kodak Black,1838954,11/16/2017
5501,Unforgettable,Thomas Rhett,1829888,11/16/2017
5502,Wild Thoughts ,DJ Khaled,1827895,11/16/2017
5503,The Weekend,SZA,1819967,11/16/2017
5504,Feels Great ,Cheat Codes,1817955,11/16/2017
5505,Bad and Boujee ,Migos,1817811,11/16/2017
5506,LOYALTY.,Kendrick Lamar,1791289,11/16/2017
5507,My Choppa Hate Niggas,21 Savage,1790652,11/16/2017
5508,Bounce Back,Big Sean,1780045,11/16/2017
5509,I Like Me Better,Lauv,1779591,11/16/2017
5510,What About Us,P!nk,1775701,11/16/2017
5511,Too Much To Ask,Niall Horan,1743433,11/16/2017
5512,T-Shirt,Migos,1735736,11/16/2017
5513,Boss,Lil Pump,1718728,11/16/2017
5514,Look At Me!,XXXTENTACION,1711352,11/16/2017
5515,New,Daya,1699461,11/16/2017
5516,That's What I Like,Bruno Mars,1698733,11/16/2017
5517,beibs in the trap,Travis Scott,1691979,11/16/2017
5518,The Plan,G-Eazy,1664163,11/16/2017
5519,Crew ,GoldLink,1649907,11/16/2017
5520,Passionfruit,Drake,1630362,11/16/2017
5521,No Role Modelz,J. Cole,1619251,11/16/2017
5522,do re mi,blackbear,1592049,11/16/2017
5523,Letterman,Wiz Khalifa,1583054,11/16/2017
5524,I Don't Wanna Live Forever,"Zayn, Taylor Swift",1574405,11/16/2017
5525,There's Nothing Holdin' Me Back,Shawn Mendes,1569872,11/16/2017
5526,X ,21 Savage,1563601,11/16/2017
5527,PRBLMS,6LACK,1554495,11/16/2017
5528,First Day Out,Tee Grizzley,1545419,11/16/2017
5529,Swang,Rae Sremmurd,1541484,11/16/2017
5530,do re mi ,blackbear,1518178,11/16/2017
5531,4:00 AM,2 Chainz,1510905,11/16/2017
5532,Undefeated,A Boogie Wit da Hoodie,1510350,11/16/2017
5533,Myself,NAV,1502402,11/16/2017
5534,Perplexing Pegasus,Rae Sremmurd,1496865,11/16/2017
5535,When It Rains It Pours,Luke Combs,1492798,11/16/2017
5536,No Smoke,YoungBoy Never Broke Again,1488278,11/16/2017
5537,Burning,Sam Smith,1485525,11/16/2017
5538,Money Longer,Lil Uzi Vert,1482413,11/16/2017
5539,No Option,Post Malone,1481293,11/16/2017
5540,All I Want for Christmas Is You,Mariah Carey,1478324,11/16/2017
5541,Starboy,The Weeknd,1477379,11/16/2017
5542,Something Just Like This,"The Chainsmokers, Coldplay",1475186,11/16/2017
5543,Now Or Never,Halsey,1474765,11/16/2017
5544,In Case You Didn't Know,Brett Young,1462492,11/16/2017
5545,Curve ,Gucci Mane,1451714,11/16/2017
5546,Caroline,Amine,1451581,11/16/2017
5547,Closer,The Chainsmokers,1449436,11/16/2017
5548,What They Want,Russ,1442216,11/16/2017
5549,D Rose,Lil Pump,1435966,11/16/2017
5550,'Till I Collapse,Eminem,1434190,11/16/2017
5551,Se Preparó,Ozuna,1433280,11/16/2017
5552,Broccoli ,DRAM,1429462,11/16/2017
5553,Bedroom Floor,Liam Payne,1417641,11/16/2017
5554,Don't,Bryson Tiller,1413949,11/16/2017
5555,Stranger Things ,Kygo,1413547,11/16/2017
5556,Say It First,Sam Smith,1413532,11/16/2017
5557,Ex Calling,6LACK,1410739,11/16/2017
5558,Fake Love,Drake,1401973,11/16/2017
5559,One Last Song,Sam Smith,1401530,11/16/2017
5560,Both ,Gucci Mane,1399962,11/16/2017
5561,Exchange,Bryson Tiller,1395543,11/16/2017
5562,From The D To The A ,Tee Grizzley,1392965,11/16/2017
5563,Bust Down,Trippie Redd,1382304,11/16/2017
5564,Portland,Drake,1382274,11/16/2017
5565,Darkside ,"Ty Dolla $ign, Ty Dolla $ign, Future feat. Kiiara, Ty Dolla $ign, Future",1381433,11/16/2017
5566,Friends ,"Justin Bieber, BloodPop",1379279,11/16/2017
5567,No Complaints,Metro Boomin,1376511,11/16/2017
5568,Heartache On The Dance Floor,Jon Pardi,1374329,11/16/2017
5569,Die For You,The Weeknd,1363884,11/16/2017
5570,Greatest Love Story,LANCO,1363330,11/16/2017
5571,Love Scars,Trippie Redd,1361581,11/16/2017
5572,Issues,Julia Michaels,1358280,11/16/2017
5573,Everyday We Lit ,YFN Lucci,1354067,11/16/2017
5574,pick up the phone,"Young Thug, Travis Scott",1340095,11/16/2017
5575,A Different Way ,"DJ Snake, Lauv, Lauv",1334918,11/16/2017
5576,Man's Not Hot,Big Shaq,1332002,11/16/2017
5577,Stay ,"Zedd, Alessia Cara",1329878,11/16/2017
5578,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,1324622,11/16/2017
5579,Flex Like Ouu,Lil Pump,1319438,11/16/2017
5580,Losing Sleep,Chris Young,1313305,11/16/2017
5581,Say A',A Boogie Wit da Hoodie,1310953,11/16/2017
5582,One Dance,Drake,1310326,11/16/2017
5583,Horses ,"PnB Rock, PnB Rock, Kodak Black, A Boogie Wit da Hoodie, PnB Rock, Kodak Black, A Boogie Wit da Hoodie",1308891,11/16/2017
5584,No Problem ,Chance the Rapper,1306838,11/16/2017
5585,Most Girls,Hailee Steinfeld,1306600,11/16/2017
5586,Saved,Khalid,1303810,11/16/2017
5587,Reggaetón Lento (Remix),CNCO,1296722,11/16/2017
5588,Mayores,Becky G,1296529,11/16/2017
5589,Feels,Calvin Harris,1274815,11/16/2017
5590,Craving You,Thomas Rhett,1274118,11/16/2017
5591,8TEEN,Khalid,1265376,11/16/2017
5592,No Peace,Sam Smith,1264489,11/16/2017
5593,Slide,Calvin Harris,1262429,11/16/2017
5594,Dirty Sexy Money ,David Guetta,1261294,11/16/2017
5595,No Promises,Cheat Codes,1256674,11/16/2017
5596,Small Town Boy,Dustin Lynch,1251563,11/16/2017
5597,Nightmare,"Offset, Metro Boomin",1230685,11/16/2017
5598,Mad Stalkers,21 Savage,1230267,11/16/2017
